Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,EmailAddress,Username,Password,BrowserUserAgent,TelephoneNumber,TelephoneCountryCode,MothersMaiden,Birthday,Age,TropicalZodiac,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,WesternUnionMTCN,MoneyGramMTCN,Color,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
11,male,Hispanic,Mr.,Amiel,J,Zayas,"Boriñaur enparantza 87","Sa Pobla",PM,"Balearic Islands",07420,ES,Spain,AmielZayasMontano@superrito.com,Kild2000,Eipu2wool4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36","761 257 463",34,Montano,7/11/2000,23,Cancer,MasterCard,5363874189742230,298,9/2026,,"1Z 979 25A 78 2311 734 3",0979379384,01719957,Blue,Lyricist,"Advansed Teksyztems","1998 Mitsubishi SST",InstallWifi.es,O+,227.5,103.4,"6' 2""",187,fec06258-8257-4ac6-a5e0-a818c4e0c1fd,39.800562,3.026839
12,female,Hispanic,Mrs.,Anahí,P,Gutiérrez,"Av. Zumalakarregi 24",Busot,A,Alicante,03111,ES,Spain,AnahiGutierrezPina@einrot.com,Inho1982,Aic6phoox9y,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36","658 345 742",34,Pina,2/18/1982,41,Aquarius,Visa,4532645120090551,609,9/2024,,"1Z 376 32E 98 0798 945 2",2234936632,20212946,Blue,"Garment presser",Keeney's,"2004 Nissan Xterra",DestructiveBlog.es,A+,189.6,86.2,"5' 7""",171,234c9dd2-95d7-4019-98fd-a6d852187f79,38.38424,-0.507106
13,female,Hispanic,Mrs.,Yuki,G,Contreras,"Carretera 99",Santaella,CO,Córdoba,14546,ES,Spain,YukiContrerasAlcaraz@jourrapide.com,Hisimed,ahNai0iza,"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","763 373 815",34,Alcaraz,3/24/1942,81,Aries,Visa,4929798333467263,371,3/2027,,"1Z 678 438 80 4145 977 2",0405387333,33813059,Blue,"Game warden","Plunkett Home Furnishings","2002 Mitsubishi L 200",LittleArticles.es,A+,207.9,94.5,"5' 1""",156,978ae59a-4306-4828-a267-dc1a4fb01db7,37.621304,-4.903042
14,male,Hispanic,Mr.,Dick,Q,Sandoval,"Outid de Arriba 4",Deltebre,T,Tarragona,43580,ES,Spain,DickSandovalVillanueva@fleckens.hu,Props1993,oogah4Soi9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0","642 956 202",34,Villanueva,10/10/1993,30,Libra,Visa,4556123037195211,623,9/2027,,"1Z 522 W71 20 8895 034 9",9716815991,65376488,Red,"Business office assistant","Pace Membership Warehouse","2007 Proton Satria",InfraRadio.es,B+,233.2,106.0,"5' 6""",168,0729937f-1537-4185-8bda-6a465eeecd36,40.793389,0.409056
15,female,Hispanic,Ms.,Dana,O,Lebrón,"C/ Cuesta del  Álamo 96",Gaucín,MA,Málaga,29480,ES,Spain,DanaLebronCervantes@fleckens.hu,Gallis,Cae7ci4c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36","640 006 681",34,Cervantes,5/12/1979,44,Taurus,Visa,4716523108740059,218,2/2026,,"1Z 562 347 92 2284 997 6",6012043397,75591916,Black,"Flight attendant",Gallenkamp,"2008 GMC Canyon",CellphoneBands.es,A+,197.6,89.8,"5' 3""",161,6605e724-d45b-49ba-bc69-b667b4076395,36.542167,-5.358678
16,male,Hispanic,Mr.,Cid,L,Urrútia,"Extramuros 87","Campo Real",M,Madrid,28510,ES,Spain,CidUrrutiaVazquez@fleckens.hu,Toger1943,heeB8Ahr3boo,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36","657 097 537",34,Vázquez,2/20/1943,80,Pisces,MasterCard,5236401268427148,586,1/2027,,"1Z 076 F10 74 8431 124 1",1724666455,89303140,Blue,"Electrical line worker","E-zhe Source","2010 Fiat Multipla",DirectoryExclusive.es,B+,182.6,83.0,"5' 7""",169,7177ed8e-670a-402b-ade9-95fac540539e,40.312669,-3.344971
17,female,Hispanic,Ms.,Cristal,C,Samaniego,"Bouciña 77","El Pla de Santa Maria",T,Tarragona,43810,ES,Spain,CristalSamaniegoOlivarez@gustr.com,Omeato,Boom0keQuah,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.132","610 842 271",34,Olivárez,11/25/1987,35,Sagittarius,Visa,4485317164544417,488,10/2024,,"1Z 606 360 38 0468 875 2",0102105742,96947956,Black,"Management scientist","Simply Save","2005 MCC Smart",StrictlyFlowers.es,A+,127.2,57.8,"5' 6""",167,13c15159-07e0-48d0-b3fa-3af6057ffcab,41.302121,1.37974
18,female,Hispanic,Mrs.,Enrica,A,Hernádez,"C/ Amoladera 75","Valverde de Alcalá",M,Madrid,28812,ES,Spain,EnricaHernadezRojas@gustr.com,Coughterep1940,eeVei4eph4,"Mozilla/5.0 (X11; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0","774 169 639",34,Rojas,3/22/1940,83,Aries,MasterCard,5252672825403652,022,10/2027,,"1Z 15E 7Y9 78 3103 074 1",1424178413,58897459,Blue,"Heavy truck and tractor-trailer driver","Singer Lumber","1997 Audi A6",TuxedoDiscounts.es,A+,148.7,67.6,"5' 1""",156,6981e603-ae48-4989-b1db-52bdd4d9b212,40.377846,-3.267036
19,male,Hispanic,Mr.,Mentor,E,Rodríguez,"C/ Rosa de los Vientos 87",Benaocaz,CA,Cádiz,11612,ES,Spain,MentorRodriguezSolorio@superrito.com,Thertal,Oong6gie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0","749 429 859",34,Solorio,6/17/1975,48,Gemini,MasterCard,5498501906837930,529,2/2028,,"1Z 297 059 60 2441 791 3",2870600821,60531128,Green,"Police dispatcher","Asian Junction","2002 Saturn Vue",NYCBash.es,O+,215.2,97.8,"6' 1""",185,8001a727-d0cb-42e3-bb2c-3b4618bc57a5,36.675577,-5.501842
20,female,Hispanic,Ms.,Paola,F,Cruz,"Cañadilla 60",Villarrasa,H,Huelva,21850,ES,Spain,PaolaCruzDelgadillo@einrot.com,Guse1938,Eihiegeed6ai,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36","772 852 109",34,Delgadillo,10/21/1938,85,Libra,Visa,4716024243820583,580,1/2028,,"1Z 680 930 69 0610 860 4",5251864217,68642744,Blue,"Staff manager","Yesterday's Records","2004 Daewoo Matiz",DisputeSpecialists.es,O+,115.5,52.5,"5' 4""",163,2e6d9946-e75c-4a4e-a164-ef93dffe60fa,37.285133,-6.537982
21,female,Hispanic,Ms.,Eluhuei,R,González,"Ctra. Bailén-Motril 37","Santisteban del Puerto",J,Jaén,23250,ES,Spain,EluhueiGonzalezDuarte@cuvox.de,Sart1992,thohVoh5ie,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36","799 757 188",34,Duarte,6/11/1992,31,Gemini,Visa,4485841178341163,347,1/2026,,"1Z 405 923 57 7367 503 1",8737205674,31670107,Purple,"Fishing vessel operator","Exact Realty","2006 Honda CR-V",FieldResearcher.es,O+,184.6,83.9,"5' 9""",175,bfee527d-e111-498a-a434-0a5b43f9c4e3,38.290284,-3.255739
22,female,Hispanic,Ms.,Vanya,L,Holguín,"Cádiz 43","Jerez del Marquesado",GR,Granada,18518,ES,Spain,VanyaHolguinArevalo@armyspy.com,Assight1992,baiN2cohi,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36","711 574 015",34,Arévalo,9/5/1992,31,Virgo,MasterCard,5356900363818071,675,7/2024,,"1Z 611 3Y7 56 7548 766 2",7046900306,24925591,Red,"Tax collector","House Of Denmark","2006 Skoda Fabia",CustomizedSkins.es,A+,121.0,55.0,"5' 9""",175,b2127cec-4596-4773-bbc4-b6d30ea14e37,37.267904,-3.131579
23,female,Hispanic,Mrs.,Ilya,G,Raya,"Puerto Lugar 25",Viñuela,MA,Málaga,29712,ES,Spain,IlyaRayaOlivo@teleworm.us,Thild1953,phahs1Yoh,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.132","645 729 766",34,Olivo,10/9/1953,70,Libra,MasterCard,5178705160949870,864,3/2025,,"1Z 017 264 53 1144 366 2",8532279980,27854171,Red,"Arc cutter","System Star Solutions","1996 Nissan Laurel",ItCheaper.es,O+,196.0,89.1,"5' 6""",168,dc53c99f-ba21-4e42-8ed9-06c4b77d0def,36.910065,-4.116334
24,male,Hispanic,Mr.,Vital,E,Laureano,"Carretera 61","Nueva Carteya",CO,Córdoba,14857,ES,Spain,VitalLaureanoSanches@rhyta.com,Frethe,uuy7No0ohfee,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36","713 340 519",34,Sanches,11/27/1992,30,Sagittarius,Visa,4716163262452793,213,12/2028,,"1Z W11 431 35 2118 892 2",1667887119,02022704,Blue,"Diagnostic medical sonographer","Honest Air Group","1999 Volkswagen Sharan",BrandTips.es,B+,232.8,105.8,"5' 8""",172,d17b7a7e-f5ec-4f13-9edf-855a98741b11,37.609949,-4.426538
25,female,Hispanic,Mrs.,Maisa,B,Anguiano,"Camiño Real 70",Orozko,BB,Biscay,48410,ES,Spain,MaisaAnguianoBenavides@armyspy.com,Hatell,waiFosi9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15","689 598 213",34,Benavides,3/22/1965,58,Aries,MasterCard,5489561234429116,106,11/2026,,"1Z 441 A72 80 5365 302 0",1284302901,88370202,White,"Project control specialist","Morrie Mages","2007 Isuzu I-350",Gigarank.es,O+,199.5,90.7,"5' 8""",172,cd80940f-3fbc-42ff-825a-d6b98bd73145,43.079237,-2.960027
26,male,Hispanic,Mr.,Aman,A,Villanueva,"C/ Eras 88","Cabanillas de la Sierra",M,Madrid,28721,ES,Spain,AmanVillanuevaMontanez@einrot.com,Wakepten,Phood7kais,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36","746 867 690",34,Montanez,4/3/1980,43,Aries,MasterCard,5356685616466055,904,6/2024,,"1Z 48E A76 25 3744 198 8",0821336291,81465816,Orange,"Delivery service driver","Stop N Shop","2004 Mercedes-Benz CLS",NameLocation.es,A+,145.2,66.0,"6' 1""",186,9cecc828-a2ce-4dc0-93f1-0cff5605f749,40.774821,-3.552295
27,female,Hispanic,Mrs.,Janet,A,Cantú,"C/ Los Herrán 63","Oliva de la Frontera",BA,Badajoz,06120,ES,Spain,JanetCantuAlmonte@cuvox.de,Thastenthe64,Zo0gooVae,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15","776 212 874",34,Almonte,4/30/1964,59,Taurus,MasterCard,5156450928431871,778,4/2026,,"1Z 587 032 18 3780 021 9",7474982890,66496510,Purple,"Water treatment plant and system operator","Source Club","2002 Lexus RX",StrawberryChampagne.es,B+,176.0,80.0,"5' 4""",162,3cce0cb9-4d01-4f10-a08b-264e26ee16d8,38.314679,-7.016587
28,male,Hispanic,Mr.,Giuliano,T,Alicea,"José matía 25",Okondo,VI,Álava,01409,ES,Spain,GiulianoAliceaSisneros@gustr.com,Whilich,aN1ooKeg,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0","692 879 826",34,Sisneros,11/15/1972,51,Scorpio,Visa,4556574148374014,331,11/2025,,"1Z 291 19A 22 1656 548 2",9787048263,96311581,Blue,"Power plant mechanic","The Warner Brothers Store","2005 Cadillac XLR",OddCount.es,A+,191.6,87.1,"5' 9""",175,8603d233-bf82-45fd-9db7-2a025284542f,42.855841,-2.251955
29,male,Hispanic,Mr.,Vincent,M,Hernandes,"Reyes Católicos 31","Aranda de Duero",BU,Burgos,09400,ES,Spain,VincentHernandesDavila@rhyta.com,Farg1981,Ahvie3ahyoy,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36","737 282 432",34,Dávila,4/25/1981,42,Taurus,Visa,4485447051195815,645,11/2024,,"1Z 642 418 70 3253 142 9",3090645680,07241741,Blue,"Loss prevention agent","Media Play","2012 Volkswagen Touran",InstantFinish.es,O-,178.6,81.2,"5' 7""",169,9e393390-cbdf-44ae-9108-a5723c160df1,41.599708,-3.764801
30,female,Hispanic,Ms.,Lorujama,H,Terrazas,"Carretera 52","Santa Eufemia",CO,Córdoba,14491,ES,Spain,LorujamaTerrazasSoria@armyspy.com,Serroustere,cuNgoaj5saa3,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36","632 469 836",34,Soria,11/9/1951,72,Scorpio,Visa,4532455766781517,141,4/2025,,"1Z 515 248 07 2445 549 2",1737554164,62098991,Green,"Aircraft cargo handling supervisor","White Tower Hamburgers","2015 Cadillac XTS",MaxBlogs.es,AB-,164.6,74.8,"5' 5""",166,5e598b07-0748-4e47-a40d-61abb01c06cb,38.620095,-4.938266
31,male,Hispanic,Mr.,Licio,F,Cedillo,"Plaza de España 56",Mugardos,C,"A Coruña",15620,ES,Spain,LicioCedilloMontano@dayrep.com,Forion,PaiCuey8joh,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:66.0) Gecko/20100101 Firefox/66.0","642 160 736",34,Montano,5/26/1965,58,Gemini,Visa,4929392865421599,429,2/2026,,"1Z Y68 W48 60 5122 270 0",0114042260,73286697,Black,"Concrete paving machine operator","Endicott Shoes","1997 Nissan Laurel",WifiDiary.es,B+,178.6,81.2,"5' 10""",178,89f112bb-e589-434a-bd8b-fa9fb4c7b990,43.365041,-8.228292
32,female,Hispanic,Ms.,Lien,L,Villalpando,"Constitución 16","A Cañiza",PO,Pontevedra,36880,ES,Spain,LienVillalpandoGastelum@cuvox.de,Whoods59,eiSaij3ohfae,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36","680 487 718",34,Gastelum,10/23/1959,64,Scorpio,Visa,4556078674897372,302,8/2028,,"1Z 122 410 09 0136 257 1",3708230749,38371219,Green,"Trial lawyer","King Carol","2010 Holden Colorado",ResidentialDatabase.es,O-,222.0,100.9,"5' 5""",166,2c1fa352-489f-4845-8b17-cc044f0a53f0,42.17029,-8.404353
33,female,Hispanic,Dr.,Roxanne,A,Navarrete,"Bouciña 71",Creixell,T,Tarragona,43838,ES,Spain,RoxanneNavarreteOjeda@dayrep.com,Trion1957,eeNg6uTei,"Mozilla/5.0 (Windows NT 6.1; rv:66.0) Gecko/20100101 Firefox/66.0","745 030 040",34,Ojeda,7/8/1957,66,Cancer,MasterCard,5180007520567088,192,5/2028,,"1Z 85F A36 12 0176 353 3",0381979483,60174011,Purple,"Receive-and-deliver clerk","Herman's World of Sporting Goods","1996 BMW Z3",RadioActor.es,A+,160.8,73.1,"5' 7""",171,eca59e10-4658-44b3-affe-fa7fc53b1cf9,41.095296,1.372763
34,female,Hispanic,Mrs.,Louisa,E,Banda,"Ctra. Beas-Cortijos Nuevos 83",Calahorra,LO,"La Rioja",26500,ES,Spain,LouisaBandaToro@armyspy.com,Anderem,ieJ0ohkijoo,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36","666 751 218",34,Toro,9/9/1973,50,Virgo,MasterCard,5326578172342116,353,1/2028,,"1Z Y89 948 46 7658 744 4",3119167980,34594044,Purple,"Chief executive officer","Super Place","2000 Renault Espace",PsdDemo.es,B+,222.2,101.0,"5' 7""",171,db63e615-de71-46ac-ab42-d40daccf9189,42.32958,-2.045113
35,male,Hispanic,Mr.,Leónidas,A,Manzanares,"El Roqueo 13",Rois,C,"A Coruña",15911,ES,Spain,LeonidasManzanaresMenendez@armyspy.com,Somes1976,ahV4eif6Ak,"Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0","660 910 812",34,Menéndez,3/7/1976,47,Pisces,Visa,4916823073518300,813,10/2028,,"1Z 465 419 03 6616 087 0",7266731727,74454957,Green,Roustabout,"Wholesale Club, Inc.","2010 Pontiac G6",KentuckyLocksmith.es,B+,230.6,104.8,"6' 1""",185,f1b18610-ed6f-4b29-9b24-02a0c3dbe64d,42.634466,-8.655178
36,female,Hispanic,Mrs.,Holly,A,Gallegos,"C/ Domingo Beltrán 71",Vianos,AB,Albacete,02315,ES,Spain,HollyGallegosLlarnas@jourrapide.com,Halke1959,esuiC8oof,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36","647 724 519",34,Llarnas,2/17/1959,64,Aquarius,Visa,4556301497330318,380,12/2027,,"1Z 87E 834 22 3942 943 4",1482948090,25756679,Blue,"Elevator constructor","AM/PM Camp","1994 Eagle Talon",GPSPage.es,B+,172.9,78.6,"5' 0""",153,2cae999c-9021-42cf-a960-6b2f86eb980f,38.669266,-2.547344
37,female,Hispanic,Mrs.,Celinda,H,Zaragoza,"La Fontanilla 61","Fuente Obejuna",CO,Córdoba,14290,ES,Spain,CelindaZaragozaArana@superrito.com,Ween1964,Aif1soogoh1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36","728 556 656",34,Arana,6/11/1964,59,Gemini,Visa,4485590018328191,935,3/2028,,"1Z E32 389 45 3013 644 1",7377196497,63923623,Blue,"Dietetic technician","DGS VolMAX","2014 Dodge SRT Viper",FulfillmentCosts.es,O+,203.5,92.5,"5' 4""",163,28125ad4-bfa3-4043-9e6c-67dbf17c50e9,38.179243,-5.486638
38,male,Hispanic,Mr.,Colon,O,Sauceda,"C/ Eras 46",Valdemanco,M,Madrid,28729,ES,Spain,ColonSaucedaCarrera@gustr.com,Papined,owahv2Hae,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","719 264 123",34,Carrera,11/13/1964,59,Scorpio,Visa,4556357763482175,687,3/2026,,"1Z W14 707 05 7055 605 6",4761159006,33599235,Blue,"Pharmacy aide",Ulbrich's,"1999 Chevrolet Malibu",FaxManual.es,AB+,143.4,65.2,"5' 9""",175,79590de7-2dad-4c34-b145-46bc1b1f362f,40.885856,-3.684959
39,male,Hispanic,Mr.,Juventino,Q,Barrios,"Calle Carril de la Fuente 48","Navas de Estena",CR,"Ciudad Real",13194,ES,Spain,JuventinoBarriosCepeda@rhyta.com,Domis1969,ko3uFiesuyo,"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","620 247 989",34,Cepeda,9/11/1969,54,Virgo,MasterCard,5339202517866664,847,2/2025,,"1Z 508 186 22 2005 006 1",5951126251,35403752,Blue,"Floor broker",Monit,"2011 Renault Megane",ComScare.es,O+,229.5,104.3,"5' 7""",171,a1fcac32-bec3-45de-8934-ad63c1de361b,39.45913,-4.524127
